Date,Player,Angel,Alice,Aladdin,Anger,Animal,Barbossa,Basil,Baymax,Beast,Belle,Bogo,Bo.Peep,Buzz,Calhoun,Cheshire.Cat,Colette,Dark.Wing,Dash,Davy.Jones,Donald,Ducky.Bunny,Duke.Caboom,Eeyore,Elasticgirl,Elsa,Eve,Evil.Queen,Facilier,Felix,Finnick,Flynn,Flynn.Rider,Frozone,Gaston,Genie,Gerald.M.N,Gizmo,Goliath,Gonzo,Goofy,Hades,Hank.Dory,Hercules,Hiro,Hook,Huey.D.L,Jack.Jack,Jack.Sparrow,Jafar,Jasmine,Joy,Judy.Hopps,Jumba,Kida,King.Louie,Kristoff.Sven,Launchpad,Linguini,Li.Shang,Madam.Mim,Mad.Hatter,Magica,Maleficent,Maximus,Megara,Megavolt,Merida,Merlin,Mickey,Miguel,Mike,Minnie,Miss.Piggy,Moana,Mr.Incredible,Mulan,Mushu,Nick.Wilde,Olaf,Oogie,Peter.Pan,Pleakley,Pooh,Powerline,Quorra,Queen.of.Hearts,Rafiki,Randall,Rapunzel,Rex,Robin.Hood,Scar,Scrooge,Shank,Shan.Yu,Simba.Nala,Stitch,Sulley,Syndrome,Tia.Dalma,Tigger,Timon.Pumbaa,Tron,Ursula,Violet,WallE,Woody,Yax,Yzma,Zurg
2020-00,…,1,2,2,68,455,7,1,64,138,2,1,71,2,4,4,10,1,23,16,145,91,42,1,4,49,1,3,6,92,7,4,11,4,68,1,5,5,9,81,178,102,10,8,14,290,31,5,3,206,45,322,6,12,10,7,59,60,10,45,9,2,102,131,18,301,37,14,19,8,3,3,10,147,26,14,136,9,7,35,41,153,8,29,28,17,2,81,484,83,5,3,25,20,1,10,12,129,8,8,1,1,250,30,5,6,1,6,9,20,4
2020-01,ambar/justice.league,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,ya,,,,,,,,,,,,mi,,,,,,,,,,,,,,,,,,fi,,
2020-01,ambar/justice.league,,mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,ra,,,,,
2020-01,ambar/justice.league,,,,,,,,,,,,,fl,,,,,,,,,,,,,,,,,,,ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,ra,,,,,,,,,,,,
2020-01,amiya,,,,,go,ti,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ge,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,amiya,,,,ha,,,,wa,,,,,,,,,mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,he,,,,,,,,,,,,,,,,,
2020-01,amiya,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,amorphouse.ice/cars.toy.story,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,ga,bo,,,,,,,,,,,,,,,,,,,,,
2020-01,amx/haven,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,apple,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,apple,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,fr,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,,,,,,,fr,mi,
2020-01,aquababy/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,askalz/disney.hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,st,,,,,,fr,,
2020-01,askalz/disney.hero,,,,,,,,,,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,an,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,askalz/disney.hero,,,,,wa,,,,su,,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,azazel/disney.hero,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bashful.goofy/goofyteam,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,mi,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bashful.goofy/goofyteam,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,an,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
2020-01,bashful.goofy/goofyteam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,ja,,,,,,,,,mi,,,,,,,,,,fl,,,,
2020-01,belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,st,,,,,,,,
2020-01,belarus,,,,,none,,,,,,,,,,,,,,,,me,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ge,,,,,,,,,,,mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,belarus,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,sh,none,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,,,,,,
2020-01,belarus/imbalance,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bez.b/monster.inc,,,,,,,,,,,,,,,,,,,,,,wo,,,fr,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,oo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bez.b/monster.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,me,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ho,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bez.b/monster.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,sh,fi,,,,,,,,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bezuro/polish.hussars,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bickk/dens.of.dragon,,,,,go,,,,su,,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bickk/dens.of.dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jo,,,sc,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bickk/dens.of.dragon,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,me,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,boruto/the.brotherhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,,,,,,,,zu,,,,,,,,,,,,,,,al,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,
2020-01,boruto/the.brotherhood,,,,,,,,ol,su,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ha,,,,,,
2020-01,boruto/the.brotherhood,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,ho,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
